                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8064,                 2.3703,                 1.0374,                0.29731,                0.16922,                0.12498,                 0.0681,                  1.699,                 1.5445,                 1.0061,             0.00023741,             0.00023741,             0.00023741
                      2,                 1.6603,                 1.5672,                 0.9974,                0.21923,                0.21107,                 0.1663,                0.09248,                 1.6179,                 1.3756,                0.96673,             0.00042835,             0.00042835,             0.00042835
                      3,                 1.6222,                 1.4489,                0.98718,                0.27347,                0.22226,                0.18935,                0.10384,                 1.6398,                 1.3566,                0.96603,             0.00057216,             0.00057216,             0.00057216
                      4,                 1.5938,                 1.3719,                0.97846,                0.30603,                0.23744,                0.20873,                0.11572,                 1.5741,                 1.2687,                0.95839,             0.00050194,             0.00050194,             0.00050194
                      5,                 1.5589,                  1.308,                 0.9709,                0.32227,                0.23856,                 0.2137,                0.12045,                  1.568,                 1.2805,                0.95843,             0.00050194,             0.00050194,             0.00050194
                      6,                 1.5364,                 1.2621,                0.96411,                0.35407,                0.24553,                0.22928,                0.12887,                 1.5265,                 1.2093,                  0.947,             0.00043126,             0.00043126,             0.00043126
                      7,                 1.5122,                 1.2204,                0.95855,                0.34004,                0.25535,                0.23559,                0.13381,                 1.5122,                 1.1939,                0.94646,             0.00036057,             0.00036057,             0.00036057
                      8,                 1.4955,                 1.1907,                0.95343,                0.32124,                0.25854,                0.24166,                0.13533,                 1.5364,                 1.1907,                0.94617,             0.00028988,             0.00028988,             0.00028988
                      9,                 1.4749,                 1.1541,                0.94733,                0.35201,                 0.2722,                0.25855,                0.14679,                 1.4743,                 1.1423,                0.93645,              0.0002192,              0.0002192,              0.0002192
                     10,                 1.4593,                 1.1338,                 0.9429,                0.35065,                 0.2764,                0.25939,                0.14914,                 1.4587,                  1.126,                0.93339,             0.00014851,             0.00014851,             0.00014851
